,date,symbol,open,close,low,high,volume
364057,2013-01-31,BXP,106.519997,105.279999,105.129997,106.900002,1339900.0
186838,2011-08-01,MTD,156.360001,148.020004,144.429993,156.360001,461200.0
791823,2016-07-14,BDX,177.100006,176.529999,175.779999,177.41000400000001,668400.0
354993,2013-01-03,FOX,27.029996999999998,26.879996999999996,26.790002,27.220004,2705800.0
844376,2016-12-12,CSX,37.27,37.02,36.610001000000004,37.380001,6189600.0
614757,2015-02-12,ZTS,47.240002000000004,45.790001000000004,45.259997999999996,47.400002,6989600.0
282515,2012-05-22,CNP,19.879998999999998,19.98,19.77,20.139999,3413700.0
564291,2014-09-17,D,69.730003,69.050003,68.66999799999999,69.779999,2307100.0
717436,2015-12-09,AME,53.470001,54.0,53.470001,54.84,1828400.0
621001,2015-03-04,MUR,49.900002,49.98,49.150002,50.040001000000004,968300.0
762998,2016-04-21,FLR,53.279999,53.720001,53.130001,53.91,1335300.0
403769,2013-05-30,CMG,370.929993,369.850006,369.22000099999997,373.420013,195500.0
687869,2015-09-15,NWL,42.349998,42.5,42.02,42.779999,1352000.0
250220,2012-02-13,IRM,30.630002,30.770003000000003,30.459999,30.889998,807900.0
626296,2015-03-19,FE,35.970001,35.939999,35.650002,36.43,3264800.0
751746,2016-03-18,SPG,205.050003,204.96000700000002,203.440002,206.880005,2486800.0
636433,2015-04-17,TROW,82.610001,82.41999799999999,81.980003,82.610001,1936900.0
697616,2015-10-13,DVN,43.5,43.720001,43.150002,44.82,3101000.0
740924,2016-02-18,BLL,66.93,66.529999,66.43,67.360001,1212900.0
507740,2014-04-02,STT,69.66999799999999,69.279999,68.959999,69.800003,2622800.0
541614,2014-07-11,WMT,76.870003,76.82,76.559998,76.970001,4547500.0
170927,2011-06-13,ROST,76.25,76.449997,75.82,76.839996,5138000.0
410606,2013-06-19,EMN,73.150002,72.33000200000001,72.309998,73.480003,904200.0
79542,2010-09-03,CTSH,61.18,62.369999,61.18,62.400002,6714800.0
113029,2010-12-15,MCO,27.24,26.940001000000002,26.93,27.48,2723800.0
38211,2010-04-30,BAC,18.280001000000002,17.83,17.610001,18.299999,231536200.0
727552,2016-01-08,EXC,27.9,27.82,27.450001,27.98,7965800.0
576490,2014-10-22,BSX,12.49,12.32,12.25,12.65,40322200.0
748716,2016-03-10,PSX,86.07,85.43,84.120003,86.07,2464600.0
250660,2012-02-14,HAS,36.689999,36.580002,36.360001000000004,36.959998999999996,2452600.0
537985,2014-07-01,LNC,51.740002000000004,52.130001,51.59,52.52,1244800.0
149884,2011-04-08,ABT,50.539955,50.489954,50.319955,50.699953,12129000.0
665221,2015-07-13,BA,145.96000700000002,146.619995,145.600006,146.75,2194200.0
117069,2010-12-29,CMCSA,22.09,21.950001,21.92,22.200001,6009700.0
762358,2016-04-20,APH,58.889998999999996,57.830002,57.07,59.09,1686500.0
99795,2010-11-04,GT,10.36,10.49,10.3,11.04,4609500.0
8554,2010-01-28,PRU,51.799999,50.59,49.900002,52.099998,3262800.0
103395,2010-11-16,AVGO,25.02,24.9,24.42,25.07,569700.0
502530,2014-03-19,CNC,64.66999799999999,64.769997,64.129997,65.190002,913600.0
717864,2015-12-09,V,78.83000200000001,77.879997,77.400002,79.75,15361500.0
776724,2016-05-31,TROW,77.660004,77.059998,76.550003,77.699997,1943100.0
94927,2010-10-21,AGN,47.389998999999996,47.110001000000004,46.759997999999996,47.459998999999996,992600.0
777526,2016-06-02,IPG,23.77,23.969998999999998,23.74,24.01,3301300.0
142943,2011-03-18,CXO,105.650002,104.309998,102.910004,105.879997,1329500.0
353108,2012-12-27,GM,27.74,27.959999,27.43,27.99,9431200.0
27725,2010-03-29,PEG,29.309998999999998,29.49,29.15,29.51,2689700.0
808269,2016-08-30,ABC,86.309998,86.040001,85.68,86.870003,1736800.0
390816,2013-04-22,HCA,37.689999,37.720001,36.810001,37.98,2404800.0
589592,2014-11-28,TRV,104.629997,104.449997,104.220001,105.07,834600.0
99218,2010-11-03,CLX,63.57,62.990002000000004,62.82,63.57,3751600.0
793377,2016-07-19,CTAS,97.32,97.41999799999999,97.059998,98.110001,693400.0
455375,2013-10-28,VRSN,53.630001,53.560001,53.52,54.209998999999996,1098000.0
712265,2015-11-23,PBI,21.25,21.129998999999998,21.040001,21.290001,806500.0
789398,2016-07-07,DLTR,94.629997,94.629997,93.699997,94.849998,1005600.0
286549,2012-06-04,RSG,26.16,25.83,25.65,26.18,2651000.0
308377,2012-08-09,CTAS,40.75,40.740002000000004,40.560001,40.91,251800.0
167706,2011-06-02,VMC,39.16,38.91,38.75,39.330002,1019500.0
435187,2013-08-29,NFLX,284.02999900000003,287.850006,283.840008,290.230007,19059600.0
663657,2015-07-07,WMB,57.02,56.889998999999996,55.630001,57.080002,10035600.0
286379,2012-06-04,HAR,38.09,38.290001000000004,37.630001,38.419998,862600.0
204570,2011-09-23,FITB,9.54,9.84,9.5,9.86,13983400.0
615427,2015-02-17,FDX,176.600006,179.53999299999998,176.509995,179.669998,1527600.0
600959,2015-01-05,AMGN,157.429993,157.990005,154.259995,159.600006,4080300.0
394585,2013-05-02,CPB,46.110001000000004,46.509997999999996,46.02,46.700001,1253300.0
497411,2014-03-04,PVH,126.25,126.339996,126.050003,127.050003,593100.0
253442,2012-02-23,F,12.27,12.4,12.16,12.44,36747600.0
131056,2011-02-09,WEC,59.27,59.349998,58.939999,59.459998999999996,1381400.0
645427,2015-05-14,APC,85.309998,84.489998,84.360001,86.050003,3154900.0
317372,2012-09-06,FLIR,19.99,20.450001,19.940001000000002,20.469998999999998,937400.0
109802,2010-12-06,PM,58.080002,58.529999,57.810001,58.650002,9234000.0
614893,2015-02-13,DNB,132.529999,133.270004,131.220001,133.46000700000002,371100.0
307866,2012-08-08,BXP,112.269997,110.790001,110.57,112.33000200000001,687100.0
801766,2016-08-11,AAP,167.800003,166.71000700000002,166.66000400000001,170.419998,829400.0
246039,2012-01-31,MCO,37.32,37.23,36.639998999999996,37.360001000000004,1566200.0
566259,2014-09-23,DHR,77.979998,77.41999799999999,77.41,78.11,2779700.0
601626,2015-01-06,GT,28.139999,27.780001000000002,27.370001000000002,28.17,5554500.0
336895,2012-11-06,UNP,124.059998,124.760002,123.559998,125.5,3208800.0
35334,2010-04-21,WU,17.370001000000002,17.440001000000002,17.299999,17.459999,6088000.0
762728,2016-04-20,SRE,104.459999,102.43,102.379997,105.459999,1345000.0
82268,2010-09-14,AKAM,50.560001,50.700001,50.560001,51.75,2682800.0
755455,2016-03-31,DG,86.129997,85.599998,85.290001,86.470001,2594600.0
452870,2013-10-21,SNA,102.0,102.059998,101.660004,102.239998,207700.0
407160,2013-06-10,CNC,49.77,50.189999,49.509997999999996,50.220001,564400.0
401719,2013-05-22,WM,42.700001,42.32,42.150002,43.0,1955900.0
4626,2010-01-15,FAST,45.5,45.860001000000004,45.419998,46.799999,3298400.0
486119,2014-01-29,PCLN,1150.0,1133.790039,1132.969971,1157.699951,684900.0
486097,2014-01-29,NOC,111.08000200000001,112.129997,110.5,112.779999,1682000.0
777384,2016-06-02,CNC,63.130001,65.160004,62.91,65.160004,1684300.0
352139,2012-12-24,EXPD,39.82,39.77,39.560001,39.93,505100.0
490404,2014-02-11,HPQ,28.879998999999998,29.359997999999997,28.8,29.489997999999996,18967100.0
695272,2015-10-06,MA,94.0,93.91999799999999,93.769997,94.849998,3641700.0
284202,2012-05-25,SCG,46.439999,46.650002,46.389998999999996,46.689999,335400.0
721301,2015-12-18,SJM,122.82,121.550003,121.220001,122.910004,1480000.0
718703,2015-12-11,MJN,77.559998,77.510002,76.68,77.800003,2643000.0
847088,2016-12-19,NFLX,124.300003,125.449997,122.870003,126.440002,4828200.0
637892,2015-04-22,STI,41.5,41.419998,41.02,41.639998999999996,4236100.0
421025,2013-07-19,NI,31.030001000000002,30.99,30.930002,31.200003000000002,2684500.0
494635,2014-02-25,APH,88.739998,88.33000200000001,88.08000200000001,89.089996,684400.0
151787,2011-04-14,AME,42.44,42.340001,42.020001,42.529999,923700.0
575943,2014-10-21,ADM,45.610001000000004,45.700001,45.48,45.970001,3397900.0
392307,2013-04-25,K,65.540001,65.800003,65.5,65.949997,1699000.0
48887,2010-06-02,TROW,48.84,50.09,48.130001,50.150002,2522500.0
50382,2010-06-08,AME,39.509999,39.739999,39.099998,39.91,1315800.0
177588,2011-07-01,WFM,63.689999,64.410004,63.380001,64.410004,2267000.0
478784,2014-01-07,PNW,52.029999,52.43,52.009997999999996,52.509997999999996,851100.0
459562,2013-11-08,JCI,35.93,36.400002,35.900002,36.509997999999996,2974500.0
677218,2015-08-14,DD,53.75,53.860001000000004,53.130001,54.200001,5602500.0
704431,2015-10-30,XLNX,47.950001,47.619999,47.509997999999996,48.389998999999996,3738300.0
672629,2015-08-03,ABC,105.75,105.82,105.139999,106.650002,1741500.0
546027,2014-07-24,WYN,77.5,77.989998,77.349998,78.980003,1749100.0
623539,2015-03-11,RHT,65.029999,65.120003,65.0,65.720001,713600.0
510047,2014-04-09,LEG,32.57,32.810001,32.41,32.959998999999996,614600.0
820272,2016-10-04,ADBE,108.519997,108.389999,107.849998,108.940002,1394000.0
234533,2011-12-23,BBT,25.48,25.48,25.200001,25.5,2411700.0
449679,2013-10-11,DVN,59.990002000000004,60.799999,59.779999,61.369999,3305800.0
114176,2010-12-20,AFL,55.84,56.240002000000004,55.720001,56.740002000000004,2633400.0
1096,2010-01-05,SLB,66.989998,67.300003,66.730003,67.620003,7365300.0
717921,2015-12-10,AES,9.26,9.28,9.16,9.35,3841400.0
222051,2011-11-15,LNC,19.75,19.93,19.450001,20.18,4701100.0
101869,2010-11-10,SWKS,23.6,23.799999,23.32,23.85,3732100.0
37340,2010-04-28,DE,59.959998999999996,59.580002,59.27,60.27,2948700.0
67576,2010-07-29,PH,62.389998999999996,61.560001,60.91,63.290001000000004,1717500.0
70865,2010-08-09,PNR,34.290001000000004,34.029999,33.700001,34.290001000000004,583900.0
285537,2012-05-31,MTB,80.91999799999999,81.32,80.309998,82.08000200000001,656100.0
409626,2013-06-17,DVN,54.830002,55.0,54.630001,55.32,2571100.0
297499,2012-07-09,APH,53.450001,53.25,52.849998,53.599998,1079200.0
446244,2013-10-02,DISCK,76.739998,76.239998,76.019997,76.949997,454000.0
822266,2016-10-10,AAP,149.0,148.059998,147.809998,149.820007,436400.0
76678,2010-08-26,BIIB,55.5,53.91,53.82,55.5,2401300.0
7835,2010-01-27,COF,35.310001,36.549999,34.650002,36.860001000000004,11448100.0
600312,2014-12-31,PWR,28.620001000000002,28.389999,28.25,28.82,1619800.0
557637,2014-08-27,NOC,127.57,127.620003,126.940002,127.860001,738000.0
270570,2012-04-16,RTN,52.650002,52.599998,52.419998,53.099998,2433200.0
221338,2011-11-14,AIG,23.77,23.540001,23.299999,23.83,4275100.0
20273,2010-03-05,RRC,50.240002000000004,51.459998999999996,50.130001,51.57,3353200.0
531326,2014-06-11,WY,31.1,31.139999,30.879998999999998,31.209999,8965500.0
671048,2015-07-28,STT,75.230003,76.16999799999999,74.790001,76.18,2740500.0
278137,2012-05-08,TXT,24.780001000000002,24.68,24.379998999999998,24.790001,3617200.0
844595,2016-12-12,NRG,12.93,12.6,12.43,13.06,10262100.0
431876,2013-08-20,TSN,31.639999,31.83,31.620001000000002,32.099998,3735000.0
391738,2013-04-24,EXPD,35.549999,35.540001000000004,35.400002,35.990002000000004,1842100.0
156250,2011-04-28,LMT,79.190002,79.059998,78.489998,79.32,2402300.0
443034,2013-09-23,PBCT,14.28,14.24,14.18,14.32,2231600.0
421843,2013-07-23,EW,69.660004,70.860001,69.0,71.029999,3112400.0
539489,2014-07-07,MRK,58.91,58.52,58.490002000000004,59.650002,9276200.0
367334,2013-02-08,USB,33.57,33.650002,33.509997999999996,33.689999,6145700.0
621554,2015-03-05,PXD,162.009995,160.440002,160.369995,162.800003,2467900.0
350151,2012-12-18,BAX,66.439996,66.949996,66.18999699999999,67.099997,5094400.0
723888,2015-12-28,YUM,73.65000400000001,73.839999,73.060002,73.95000300000001,4813800.0
455041,2013-10-28,DGX,58.57,58.950001,58.459998999999996,59.279999,1440500.0
30544,2010-04-07,PNC,62.689999,62.5,62.119999,63.349998,4354800.0
705275,2015-11-03,NVDA,28.530001000000002,28.5,28.18,28.690001000000002,9419200.0
395186,2013-05-03,HSIC,90.889999,90.720001,89.93,91.489998,345800.0
436231,2013-09-03,RRC,75.980003,76.540001,75.959999,76.959999,1323800.0
839068,2016-11-25,MNK,57.509997999999996,57.209998999999996,56.07,57.599998,814100.0
22266,2010-03-12,AIZ,33.080002,32.900002,32.740002000000004,33.27,1094300.0
603370,2015-01-09,WBA,77.309998,75.66999799999999,75.610001,77.540001,3704100.0
120166,2011-01-06,ROP,76.239998,75.629997,75.389999,76.269997,466800.0
257934,2012-03-07,UNM,23.09,23.219998999999998,23.01,23.23,2033400.0
777158,2016-06-01,PSA,253.02999900000003,256.790009,252.30000299999998,257.130005,696100.0
4787,2010-01-15,PBCT,16.93,16.620001000000002,16.530001000000002,16.969998999999998,3112500.0
249837,2012-02-10,NVDA,16.139999,15.9,15.81,16.200001,11006700.0
742743,2016-02-23,RIG,8.54,8.54,8.45,8.82,12519300.0
695073,2015-10-06,CHD,86.349998,85.559998,85.43,86.389999,1395400.0
324725,2012-09-28,ACN,67.809998,70.029999,67.709999,70.650002,9827000.0
301610,2012-07-19,STT,41.540001000000004,41.540001000000004,41.25,41.919998,4270500.0
735060,2016-02-01,FSLR,68.099998,69.129997,66.739998,69.769997,1963500.0
197744,2011-09-01,SWKS,20.690001000000002,20.92,20.440001000000002,21.68,4024700.0
675490,2015-08-10,REGN,584.669983,581.0,580.880005,591.840027,640300.0
86720,2010-09-27,LEG,22.77,22.68,22.440001000000002,22.799999,990900.0
842731,2016-12-06,VRTX,75.769997,78.120003,75.040001,78.389999,1795200.0
208547,2011-10-05,SRCL,80.5,80.32,79.099998,80.599998,424100.0
179365,2011-07-08,PNW,44.66,44.779999,44.549999,44.869999,556900.0
596796,2014-12-19,MAC,83.16999799999999,82.309998,82.120003,83.279999,1872900.0
398423,2013-05-14,CAG,35.47,35.689999,35.43,35.689999,2507200.0
576195,2014-10-21,L,41.66,42.290001000000004,41.66,42.369999,1252800.0
107827,2010-11-30,KO,62.950001,63.169998,62.919998,63.580002,23550600.0
805792,2016-08-23,ALXN,137.220001,137.419998,135.940002,137.699997,903100.0
490575,2014-02-11,SEE,32.09,32.740002000000004,31.860001,32.959998999999996,1659800.0
419422,2013-07-16,FLS,55.400002,55.18,54.59,55.450001,1235200.0
576164,2014-10-21,IDXX,121.540001,124.400002,120.559998,124.470001,852600.0
720471,2015-12-17,CA,28.66,28.5,28.15,28.690001000000002,3590100.0
48891,2010-06-02,TSO,11.57,11.68,11.34,11.68,5841800.0
607814,2015-01-23,VZ,47.849998,47.150002,46.98,47.93,24317800.0
635093,2015-04-15,CELG,115.93,118.230003,115.839996,118.610001,5963200.0
140988,2011-03-14,APD,86.719996,86.879995,86.219999,87.309997,2498500.0
460573,2013-11-12,LUV,17.74,18.030001000000002,17.74,18.540001,15799100.0
107607,2010-11-30,AME,57.67,59.169999,57.44,59.69,2503900.0
377381,2013-03-12,NTRS,55.040001000000004,54.790001000000004,54.669998,55.09,714300.0
128976,2011-02-03,KMX,32.57,33.32,32.57,33.450001,1817600.0
659690,2015-06-24,WFM,40.900002,41.029999,40.799999,41.09,4492200.0
571393,2014-10-07,PNR,64.650002,63.849998,63.849998,65.07,1217500.0
228465,2011-12-06,CNP,19.860001,19.68,19.67,19.91,3348800.0
710812,2015-11-18,RRC,33.150002,32.040001000000004,30.92,33.740002000000004,5400100.0
803072,2016-08-15,MOS,27.26,28.43,27.190001000000002,28.5,4628700.0
410936,2013-06-19,XOM,91.790001,91.0,91.0,92.269997,14189500.0
823241,2016-10-11,WM,62.610001000000004,62.43,62.220001,62.849998,1440900.0
779216,2016-06-07,TMK,60.919998,60.939999,60.689999,61.150002,367800.0
271576,2012-04-18,VMC,42.099998,41.349998,41.220001,42.099998,633700.0
715393,2015-12-02,WY,32.099998,31.76,31.700001,32.189999,2887300.0
141511,2011-03-15,CMG,249.850006,258.0,249.0,259.98999,1123400.0
148959,2011-04-06,AIZ,38.389998999999996,38.990002000000004,38.150002,39.009997999999996,1055200.0
71139,2010-08-10,EQIX,92.910004,94.300003,91.730003,94.639999,708000.0
386370,2013-04-09,DD,48.909998,49.229997999999995,48.749998,49.42,5685200.0
532121,2014-06-13,MCHP,49.310001,49.139998999999996,49.0,49.529999,1003500.0
737502,2016-02-08,DOV,59.150002,59.669998,58.700001,59.849998,1256000.0
687749,2015-09-15,HD,114.779999,116.18,113.900002,116.629997,4994000.0
